"assignee_id"	"assignee_type"	"disambig_assignee_individual_name_first"	"disambig_assignee_individual_name_last"	"disambig_assignee_organization"
"org_0CSTvlQy8p4qdPt294rQ"	2	NA	NA	"Freefly Systems, Inc."
"org_0cu7zA3fOgp1lmpaeYk7"	2	NA	NA	"Indiana Mills & Manufacturing, Inc."
"org_0CZRjpB6eVS3QEwA8p2U"	3	NA	NA	"SINTOKOGIO, LTD."
"org_0D3F4FcnVedgdWrvYCvk"	3	NA	NA	"SAP Portals Israel Ltd."
"org_0D5v2RtquRC4QnVL049R"	3	NA	NA	"Kuka Roboter GmbH"
"org_0DQoauRLI7x93RF5w5MX"	3	NA	NA	"Borregaard Industries Limited"
"org_0dv2JQCuoAr5fgLUY6ls"	3	NA	NA	"Unication Co., Ltd."
"org_0En9jaWh8VCGW7D9thZq"	3	NA	NA	"JBF Interlude 2009 LTD"
"org_0EWI3Xcj1GFur3cleaCv"	3	NA	NA	"BASF Farben & Fasern AG"
"org_0F5iWgfFvdoFzS5fpNPT"	3	NA	NA	"Haimer GmbH"
"org_0F8LC75mKQbLbLXGit3h"	3	NA	NA	"Harman Audio Electronic Systems GmbH"
"org_0FDwoXmKjdUKTdMJpCPh"	2	NA	NA	"Fischer & Porter Co."
"org_0FfPZcOgUOWOn2SKj7pb"	2	NA	NA	"Medtronic MiniMed, Inc."
"org_0fIGbkibZbfcpHYQ16ch"	2	NA	NA	"Whedco, Inc."
"org_0fNJGqWVUjEy95hHslPJ"	2	NA	NA	"Honeywell International Inc."
"org_0fWKwWVnkNlnWDqqCpKX"	2	NA	NA	"Garden Right, LLC"
"org_0FxbNTGCuu8rvN0CSR2L"	2	NA	NA	"NOVARAY MEDICAL, INC."
"org_0GdgJpk5tj3zePANJDsz"	2	NA	NA	"Triodyne Safety Systems, L.L.C."
"org_0GF191BiFkWpCUYDnLfP"	3	NA	NA	"Taiheiyo Cement Corporation"
"org_0ghO7Y03tqPlirRfkK0Z"	2	NA	NA	"Patriark, Inc."
"org_0GLvXi1exDxa1xJtzJiK"	2	NA	NA	"Andrew Corporation"
"org_0GmRykZ3VaLMlOEG4ttO"	3	NA	NA	"Enichem S.p.A."
"org_0GN2z8BFfhFIsrPcqIR4"	3	NA	NA	"Frontier Refrigeration and Air Conditioning Ltd."
"org_0GnsRR0pHJtVWvbpvfd6"	2	NA	NA	"Hollister Incorporated"
"org_0GVECoEWRVxsqbsfTtPs"	2	NA	NA	"Surgistar, Inc."
"org_0GvjcJszS0bF90zC5eDC"	2	NA	NA	"Del Mar Avionics"
"org_0gZ0WJWWLWeA47dSjnpo"	2	NA	NA	"Beth Israel Deaconess Medical Center, Inc."
"org_0H2Xbps9gnPeJmyYJnpu"	3	NA	NA	"CITIZEN HOLDINGS CO., LTD."
"org_0h8iR8UIqE0OYD7a53ts"	2	NA	NA	"Satellite Business Systems"
"org_0HDmXjB9Hl1IJOdbMmVl"	3	NA	NA	"HNE Technologie AG"
"org_0heyDAIGL6YTA9AmWSZ1"	2	NA	NA	"MiniMed Inc."
"org_0HEYx2Dn9oTKQtcBWDtV"	3	NA	NA	"Okamoto Industries, Inc."
"org_0HiH9hPeprZb2Lk1Iju3"	3	NA	NA	"Glaxo Group Limited"
"org_0HqpB9sgXZ9jnRreBKv1"	3	NA	NA	"Sun Medical Co., Ltd."
"org_0hVgvfjFuHuhppKj6xhf"	3	NA	NA	"Noma Inc."
"org_0i1TO4eLCBzrXi44MdjV"	3	NA	NA	"Komatsu Zenoah Co."
"org_0IBN9y2yYKPZvBMOKAdx"	2	NA	NA	"Hughes Aircraft Company"
"org_0ihHNkACVOOt0P4JpV5A"	3	NA	NA	"Sanshin Kogyo Kabushiki Kaisha"
"org_0ILZAhFRH217yhHp7Vcm"	3	NA	NA	"TeliaSonera AB"
"org_0iqEGNQynWzAqIYxXU73"	2	NA	NA	"Outlook Window Products, L.L.C."
"org_0IZmVElZzooArtN3x4y9"	2	NA	NA	"Mesa Laboratories, Inc."
"org_0izrmqYYdYF647oJ9ilL"	3	NA	NA	"LuK Getriebe-Systeme GmbH"
"org_0j2YYnfFgzYYzXDItLuq"	2	NA	NA	"Swirl Networks, Inc."
"org_0j2ZKGNSY8j2EbIXi7ym"	2	NA	NA	"Heritage Technologies, LLC"
"org_0j4gAHR4Dv7XJ906DMg3"	3	NA	NA	"Cementa AB"
"org_0j6fAoiIMltmEkIS8XGi"	3	NA	NA	"FUJITSU OPTICAL COMPONENTS LIMITED"
"org_0jal7rQNOMzXcE8xMKgl"	3	NA	NA	"Nawaseikiseisakusho Corporation"
"org_0jfyvDEGiryo1yAwbJjh"	2	NA	NA	"Inspirotec, Inc."
"org_0jkFlR5uSR3K7Ma2EYQN"	3	NA	NA	"Renesas Electronics Corporation"
"org_0JoHev8ukprTYD4JaxNV"	2	NA	NA	"Sonoma Technology, Inc."
"org_0KaeGZDmfwmJ1hEp1nIE"	2	NA	NA	"Somerset Technologies, Inc."
"org_0kbjhbMEGgzp8441IYAx"	2	NA	NA	"Imaging Systems Technology, Inc."
"org_0kQfZKTGKj1HQJBLQ8vo"	3	NA	NA	"Paul Hettich GmbH & Co. KG"
"org_0L8O2pUYqr7nNXn7DENo"	3	NA	NA	"Duetsche Institute fuer Textil- und Faserforschung Stuttgart Stiftung des oeffentlichem Rechts CNT DEX COD 03"
"org_0lf3B7x6ryof24c8QMHw"	3	NA	NA	"PROCESS RESEARCH ORTECH INC."
"org_0lLm7GniSF2AIaGNlXbt"	2	NA	NA	"Bio-Gas Development, Inc."
"org_0lQiMyGnBjGf5Z2pOw6i"	3	NA	NA	"Koninklijke Philips Electronics N.V."
"org_0LSKOVcJwr5M8AwwzCPt"	2	NA	NA	"Electrokinetics, Inc."
"org_0meFUAxvNLkmukbPKRG8"	3	NA	NA	"AISIN TAKAOKA CO., LTD."
"org_0mRusrEokAseKZO7zNjv"	3	NA	NA	"Casimir Kast GmbH & Co. KG"
"org_0N7G4DUAgH3Gmu4hmpDT"	3	NA	NA	"INNOLUX CORPORATION"
"org_0nasiVBQrzCbNtWXPzzH"	3	NA	NA	"Edwards Limited"
"org_0Nhjou1Nx1cfUIx6mzXS"	2	NA	NA	"Alina Designs, Inc."
"org_0NlvVpn1fLpK1r5Jwi4l"	3	NA	NA	"Hitachi, Ltd."
"org_0NPZxWVODSYSyx5Vvnka"	2	NA	NA	"Kalsi Engineering, Inc."
"org_0NxmUUMiLqKUCcqOAWVN"	2	NA	NA	"ASI Technologies, Inc."
"org_0O8aR8wwSX2pFYHIaQlM"	2	NA	NA	"Phylos, Inc."
"org_0oD2MeMlE9cSSvchWlm3"	3	NA	NA	"INNATE PHARMA"
"org_0OGoVsNTyULYd2XM4WMw"	3	NA	NA	"Shin-Etsu Quartz Products Co., Ltd."
"org_0OmDWC3ltPLMd0adEfU7"	3	NA	NA	"Computalog Limited"
"org_0oqOrb9E4DV3dcXIe2CA"	3	NA	NA	"Celgene International II SÀRL"
"org_0ouAoLk5Ep8rHtFMlw2X"	3	NA	NA	"Shandon Southern Products Limited"
"org_0ov9qBIqSq2vfQBATUlS"	3	NA	NA	"The University of Queensland"
"org_0pEQJ5ElqKjtzHE9vSr2"	2	NA	NA	"Forma Scientific, Inc."
"org_0phzBarYSuvNqpOX9D98"	2	NA	NA	"Diatide, Inc."
"org_0psZmfEF0OuEH3GDVRvk"	2	NA	NA	"The Genlyte Group Incorporated"
"org_0pYVIKhrIBHSgGnyqdos"	2	NA	NA	"The General Hospital Corporation"
"org_0Q3BzfoHRK5CuRAranLb"	3	NA	NA	"DC Swiss SA"
"org_0q5B28SFIGnEzB5QoPaB"	2	NA	NA	"MegaMOS Corporation"
"org_0Q8AjdvCCRP9MIwP8PGU"	3	NA	NA	"Sobrevin Societe de brevets industriels-Etablissement"
"org_0qc5uHv6JW6AmDWacTQt"	3	NA	NA	"Etudes et Recherches Avancees"
"org_0qFZWLTsxtNzmjpbVwJw"	3	NA	NA	"KunShan Go-Visionox Opto-Electronics Co., Ltd."
"org_0qUPcCEEf9SI6oxv1fvq"	3	NA	NA	"Eckart GmbH & Co. KG"
"org_0qYL5Qrc7ZTIV8SAGUQP"	2	NA	NA	"Magnecomp Corporation"
"org_0R85TMFsDeUoEiLz1XVL"	3	NA	NA	"AB Bofors Wear Parts"
"org_0raOGf1GNrYgooZA43VS"	3	NA	NA	"Polar Electro Oy"
"org_0rf8fc5o1iWiivDqsP0r"	3	NA	NA	"Menegatto S.R.L."
"org_0RznNvQxDuIMkqW0WRqi"	3	NA	NA	"Sanken Electric Co., Ltd."
"org_0s7T3cHfuDaWUdoicHlu"	3	NA	NA	"ABB Flakt AB"
"org_0s8RJy0YiZ7cTq7QhvM8"	2	NA	NA	"Robbins & Myers, Inc."
"org_0se4RP7ty9oW0DQfLvwZ"	3	NA	NA	"ARKRAY, Inc."
"org_0sGUk0wfU0GDApaqEnRe"	3	NA	NA	"STAMICARBON B.V."
"org_0shYFBndKy5wNSH2QbRa"	2	NA	NA	"Millmaster Onyx Corporation"
"org_0spJrSqouIPBs2XTza0C"	3	NA	NA	"AKADEMIA GORNICZO-HUTNICZA IM. STANISLAWA STASZICA W KRAKOWIE"
"org_0sQOTD2CKF7ikuulXRWx"	2	NA	NA	"Barry Wright Corporation"
"org_0T7lhvENfyR0SJOXMS9q"	3	NA	NA	"Chiun Mai Communication Systems, Inc."
"org_0tfo1OKPiXFLLEkxCsKJ"	3	NA	NA	"Societa' Farmaceutici Italia S.p.A."
"org_0TtQP6MySaSoXDhlHLa0"	2	NA	NA	"Novell, Inc."
"org_0tupgelVOReCjloAFGSo"	2	NA	NA	"Bettcher Industries, Inc."
"org_0twLb0Youoz8q5TVOTec"	3	NA	NA	"Imperial Oil Resources"
"org_0uBTcwDgBVM8YE3PMpG2"	2	NA	NA	"Sprint Spectrum L.P."
"org_0uQVdevesvKqYdVS9v8A"	3	NA	NA	"TEREX GLOBAL GMBH"
"org_0urtdjt43Z92i0CKaS7e"	2	NA	NA	"Cytovia, Inc."
"org_0uVrY7Mi6tqM6Vhx44bG"	2	NA	NA	"Rohm and Haas Electronic Materials LLC"
"org_0VAU1JvQrVweSNCgmg3p"	2	NA	NA	"Autodesk, Inc."
"org_0VCrgrSy4HQMmX0tPXYi"	2	NA	NA	"International Lubricants, Inc."
"org_0VedOiUcUuIzCTa8ifXM"	3	NA	NA	"Asahi Corporation"
"org_0vheNybdVH36YbrNQRAD"	2	NA	NA	"Combi Packaging Systems, LLC"
"org_0voliJbtOw7HOSGmGBbe"	2	NA	NA	"NIKE, Inc."
"org_0VqbWSabgxjhzN9DAnUL"	3	NA	NA	"Stein & Co. GmbH"
"org_0VYJEomYUYVgFCoj1JEh"	3	NA	NA	"Yazaki Corporation"
"org_0W5fNAE3PlGb9Z2Fjqe6"	3	NA	NA	"DELPHI AUTOMOTIVE SYSTEMS LUXEMBOURG SA"
"org_0Wa4hc9GCyIbWXgPMego"	3	NA	NA	"BASF SE"
"org_0WGqeMAmTIz1lDBiHC7z"	3	NA	NA	"Trinity Industrial Corporation"
"org_0wKcmA0G8kXUVN6NMDt5"	3	NA	NA	"American Gaming Systems Toronto, Ltd."
"org_0wqZVWrFPgdb4zYdSI6e"	2	NA	NA	"STRUCTURED I, LLC"
"org_0wTEvUqjV0Pgc1KTwegB"	2	NA	NA	"St. Jude Children's Research Hospital"
"org_0WuHGYlXtfRBP9wPFut2"	3	NA	NA	"Wintershall Holding GmbH"
"org_0wvrm1XuyAaxGLJeMdhb"	3	NA	NA	"TDK-Micronas GmbH"
"org_0wXNXeNGMja43RmlkGWm"	2	NA	NA	"The Perkin-Elmer Corporation"
"org_0wz1IcUBKOoVVMUnTHfv"	2	NA	NA	"Swagelok Company"
"org_0x2yaYBfGbJdpRaSbnII"	2	NA	NA	"Lighting Science Group Corporation"
"org_0XIinNXtpui2RCwjrLyp"	2	NA	NA	"Bechtel Hydrocarbon Technology Solutions, Inc."
"org_0xjq9XhGcXR0eCVTxUyh"	2	NA	NA	"Plastic Suppliers, Inc."
"org_0xkK97UkcUuJerLRCDof"	3	NA	NA	"Young Optics Inc."
"org_0XLQXvFHLOP4LbAd8YCA"	2	NA	NA	"Holtec Gas Systems, LLC"
"org_0xmqnjXzcliG0HuVyel8"	2	NA	NA	"EMS Technologies, Inc."
"org_0XNPfsK2mhKdDtLaFtab"	3	NA	NA	"Terni Acciai Speciali S.p.A."
"org_0XPdpCLJ7vespAgjCsps"	2	NA	NA	"Stryker European Holdings I, LLC"
"org_0Y8GA2pJK0007sDBONVl"	3	NA	NA	"Rohs-Voigt Patentverwertungsgesellschaft mbH"
"org_0yCoj6obc26QTqSJDN75"	2	NA	NA	"IsoStent, Inc."
"org_0YEU8nXuSNZMSgnREP4n"	3	NA	NA	"Amcor Limited"
"org_0YhHr07hSpJQKBcMVnpD"	2	NA	NA	"A. O. Smith Corporation"
"org_0yJMFZ3cx4X4WFpyFHUV"	3	NA	NA	"Baker Heart Research Institute"
"org_0YPcuW7n8KqURaviLeO1"	3	NA	NA	"Balibali System Co., Ltd."
"org_0YQH6yAWwrKjORUbgVeZ"	3	NA	NA	"King Abdulaziz City for Science and Technology"
"org_0yyraX0A1Ml25ffVbcbC"	2	NA	NA	"Specialty Assays, Inc."
"org_0ZcBdgzy4lvi9fURUL06"	2	NA	NA	"VIDACARE LLC"
"org_0zdS0fmGlpRWIG5bTmno"	3	NA	NA	"MAN Nutzfahrzeuge AG"
"org_0ZFDYa5EBkXpKsf82PXJ"	2	NA	NA	"Magnum Semiconductor, Inc."
"org_0Zho1SLmh3ayepnIA0c6"	3	NA	NA	"Mega Chips Corporation"
"org_0zLSViTLnxtS5dE103gO"	3	NA	NA	"Configit Software A/S"
"org_0ZsXoRYF74fh9rR9zslL"	3	NA	NA	"Transcend Inc."
"org_0ZU2Szi2uWP04jDAiHRb"	3	NA	NA	"Optoplan AS"
"org_0zurwdXOluicSoycNdv1"	2	NA	NA	"The Children's Hospital of Philadelphia"
"org_0zxVHzTqJ0YG56lpEMot"	2	NA	NA	"CenterStar, Inc."
"org_0ZZ89h2FQaI75lazN1ZZ"	2	NA	NA	"International Engine Intellectual Property Company, LLC"
"org_10pO0T4sxnn5OJWZnA3F"	2	NA	NA	"MARK Resources, Inc."
"org_10ria0wVJxEIi05kWwY6"	3	NA	NA	"Nippon Thompson Co., Ltd."
"org_115vGkc1sknGVF07rhdB"	2	NA	NA	"DISH Technologies L.L.C."
"org_11BeIj5FYGmwyarW5QtT"	3	NA	NA	"McMaster University"
"org_11IU0h7jviJI61ZoxVz5"	2	NA	NA	"Georgetown University School of Medicine"
"org_11Y71OgDewaVEKugkc6K"	2	NA	NA	"Little Harbor Boat Yard Corporation"
"org_124HGqOrd75llGcksXJR"	2	NA	NA	"Meritor Heavy Vehicle Systems, LLC"
"org_129At7azZ80CQNUdk2QH"	3	NA	NA	"Taiho Industries Co., Ltd."
"org_12S1FFtrRwtLvtMW0mKV"	2	NA	NA	"hopTo Inc."
"org_138HaIASGYHjsuCOdNKX"	3	NA	NA	"Genesis Photonics Inc."
"org_13TaJlKL25MLMgotewyG"	3	NA	NA	"Santoni S.p.A."
"org_13YBfr4xAk6IKWm0awgE"	3	NA	NA	"GIFTY GROUP LTD"
"org_14hDQcx1M7V7MEvjTeyT"	3	NA	NA	"SNU R&DB FOUNDATION"
"org_14SGrvT9QMT45NJg1WuE"	2	NA	NA	"InVue Security Products Inc."
"org_14SSG96ktGzYw7i2MIUH"	2	NA	NA	"Salutron, Inc."
"org_15cYh48rL1A78ms50omB"	3	NA	NA	"The University Court of The University of Aberdeen"
"org_15LRExMuHJcwImdBBlpV"	2	NA	NA	"GPCP IP Holdings LLC"
"org_15nZGeJMMblMVOVKZXLr"	2	NA	NA	"Analytica of Branford, Inc."
"org_165I7kZ3PAwbKqU2nVYy"	3	NA	NA	"Kali-Chemie Pharma GmbH"
"org_16SnWfydeF6wxnR5RxDX"	3	NA	NA	"Advanced Bionics AG"
"org_178i9dqaLqsWdKcS0IL5"	2	NA	NA	"Secura-Seal Technologies LLC"
"org_17dDqHd5DTrAQg4wciVQ"	2	NA	NA	"AIL Systems, Inc."
"org_17eTOs4wetzvHa7I6U6a"	3	NA	NA	"JCB Transmissions"
"org_17Jz1348sbvHRpVmfO0p"	3	NA	NA	"INTELLECTUAL DISCOVERY CO., LTD."
"org_18Q3OG001BIZHryEJBrW"	2	NA	NA	"VeriFone, Inc."
"org_18xHBljJ8EvNZOofahId"	2	NA	NA	"Savin Corporation"
"org_1960ORXMc2YAepFdHHNg"	2	NA	NA	"Stora Enso North America Corp."
"org_19DhaOvUWVhn9Igw6TVh"	2	NA	NA	"Intertrust Technologies Corporation"
"org_19Hx9gQHamU4couWErZa"	2	NA	NA	"IMMUNOMEDICS, INC."
"org_19lmHzXPKambEAvVIBwL"	2	NA	NA	"Illumination Management Solutions, Inc."
"org_19ngpY3TN7FMiHYfEZ44"	2	NA	NA	"Galt Laboratories, Inc."
"org_19Rso2OBCvuCnO7ZgxWw"	3	NA	NA	"Daimler AG"
"org_19sxbHGkQxjTD9sBqX7V"	2	NA	NA	"Lee Research Laboratory, Inc."
"org_1A26gzbc7AheQ416kw0h"	2	NA	NA	"Palantir Technologies Inc."
"org_1adRYFyp9gp5D9KEqMzo"	3	NA	NA	"LG Chem, Ltd."
"org_1aShGEmq6L2w0ew6x79T"	3	NA	NA	"Japan Display Inc."
"org_1aTUR6mFYaxXdUarQbHq"	3	NA	NA	"SK Chemicals Co., Ltd."
"org_1B10sNjpIGWy8j7WspAB"	2	NA	NA	"HELIAE DEVELOPMENT, LLC"
"org_1b5iXarXBLQqEfahN9JN"	2	NA	NA	"Seaquist Closures Foreign, Inc."
"org_1bD1XfOMBCQw06YaOWEi"	3	NA	NA	"Panasonic Intellectual Property Management Co., Ltd."
"org_1befbhpRKq10h0vzkLKm"	2	NA	NA	"The Texas A&M University System"
"org_1Bo8154z6CD5fsUCUnmy"	2	NA	NA	"REVA Medical, Inc."
"org_1brikLiobN0oP5tgrKd2"	2	NA	NA	"Helene Curtis, Inc."
"org_1bWNjpIqoMowRFqqZ6Pm"	3	NA	NA	"Daewoo Telecom Ltd."
"org_1BzYWf9amYFXI9EntBu9"	2	NA	NA	"State Industries, Inc."
"org_1C1WZdEQnxW09mMDVTUQ"	2	NA	NA	"NEC Laboratories America, Inc."
"org_1c44fAf5mGWNIKvNhfCj"	3	NA	NA	"Charmilles Technologies S.A."
"org_1c6BGUpVDYRj9urvSP0y"	3	NA	NA	"AIRBUS HELICOPTERS"
"org_1c74zyL94yrouL34TuNu"	2	NA	NA	"LyteSyde, LLC"
"org_1CD4bUy7C6usY5Bnbr17"	3	NA	NA	"Betaswage Pty Ltd"
"org_1CJ0mWrM4Tob9RrIVXNf"	3	NA	NA	"Boart International Limited"
"org_1cK9eal8fx9ccdHvUG5L"	2	NA	NA	"Aristech Chemical Corporation"
"org_1ClA6285o3dh5MebbK06"	2	NA	NA	"Abbott Cardiovascular Systems Inc."
"org_1cldFdSzzqJHuS66U6Cr"	2	NA	NA	"MapQuest, Inc."
"org_1ct5XbL3W7DJvjOKCm04"	3	NA	NA	"Orion-yhtyma Oy"
"org_1cumpnrqvzqo0XYFH8nx"	2	NA	NA	"Diversey, Inc."
"org_1cxiShEdYxNvjBsPRvsQ"	2	NA	NA	"Board of Trustees of Northern Illinois University"
"org_1D1rMKU6oi8ZqvxfwUJd"	2	NA	NA	"General Dynamics Land Systems, Inc."
"org_1d9hVnDDF8cV1AvlaZTz"	2	NA	NA	"American Air Liquide, Inc."
"org_1D9z2rfHf9MvUtIftYyx"	2	NA	NA	"Diamond International Corporation"
"org_1dbbvs3urvESUN6un6S7"	2	NA	NA	"Scott Instruments Corporation"
"org_1dGruDv891vTDCRxzzb5"	2	NA	NA	"FrostByte Video, Inc."
"org_1DGYbn9rMU96LwI9yqDz"	3	NA	NA	"COMPASS MINERALS MANITOBA INC."
"org_1dKznuXqjgPovbj3MLzw"	2	NA	NA	"Verizon New York Inc."
"org_1dNTRVR5wuEBVnM1RdTF"	3	NA	NA	"Wirtgen GmbH"
"org_1DUYwbUDKAv9vwSRfXkz"	3	NA	NA	"Schreiner Group GmbH & Co. KG"
"org_1eDDD1MInkc79SeicyK4"	3	NA	NA	"Hitachi Displays, Ltd."
"org_1EeW8WHKZ5N6xsePHg9D"	2	NA	NA	"Lab Products, Inc."
"org_1eK3JG7IhMofnFSOWoYV"	3	NA	NA	"Alberta Oil Sands Technology and Research Authority"
"org_1ek7YugOqPHAfyXJgbNe"	2	NA	NA	"Interstore Transfer Systems, Ltd."
"org_1eQg75GfYMxAv1KWNTbv"	3	NA	NA	"Korea University Research and Business Foundation"
"org_1ffrn3URRYcMYFQFy9mT"	2	NA	NA	"O'Neill Communications, Inc."
"org_1fgegulkLXaAeyxsK3im"	2	NA	NA	"Hartford Fire Insurance Company"
"org_1FhgcdM9aRlXW67T22LU"	3	NA	NA	"Tsubakimoto Chain Co."
"org_1FOI2KXaSnwFosTwaI8G"	3	NA	NA	"VA TECH Ferranti-Packard Transformers Limited"
"org_1fqVL5FNXFefajLM8FyV"	3	NA	NA	"Chisso Petrochemical Corporation"
"org_1g5pZakd2lDDaEOdhIEL"	3	NA	NA	"Nippon Metal Industry Co., Ltd."
"org_1gdldRBsdCrVCSC03qac"	3	NA	NA	"Toyo Corporation"
"org_1GxT80LgwPTPNaPo8siz"	3	NA	NA	"Emerald Enterprises Pty Ltd."
"org_1H3LN36X3ZuoruKIE8ik"	2	NA	NA	"BEST SWING ONE, LLC"
"org_1HnSjPvpm1flBCem9KyW"	2	NA	NA	"Ampex Corporation"
"org_1I0lonse3U7Bp066sRRu"	2	NA	NA	"Exxon Research & Engineering Co."
"org_1I5HMfTdGngTBs4gF9qY"	3	NA	NA	"Via Technologies, Inc."
"org_1i9TDZSCxsUyruVdeFcu"	3	NA	NA	"Philip Morris Products S.A."
"org_1IdlTaQPijWa75YuKYHa"	6	NA	NA	"The United States of America as represented by the Secretary of the department of Agriculture"
"org_1IdY7wowNZDTDwaKqTRj"	3	NA	NA	"Lamar Signal Processing Ltd."
"org_1iin1EmbyFXYEsrVqVIk"	2	NA	NA	"Tenneco Automotive Operating Company Inc."
"org_1IjjTeVsy64GwCVrrUul"	2	NA	NA	"MagIC Technologies, Inc."
"org_1IkTzUj0KC07v0EtBDAL"	3	NA	NA	"Skega AB"
"org_1iVa5RKkHVrAqeOuVVfZ"	2	NA	NA	"ADS Telecommunications, Inc."
"org_1j0G7NeSM9t93ZXcX8Mx"	2	NA	NA	"O.S. Designs, Inc."
